recipe_tag	coefficient
lettuce	0.0396386706348199
lime	-0.09116400949630765
loadednachos	-0.12888135868623837
lowcarb	0.1416162651377158
lunch	-0.036009553861760704
macandcheese	-0.06582278002773924
maple	-0.03564171286847663
maplesyrup	0.10729861048991321
masa	-0.012139856593381048
mayonnaise	-0.051711518317955986
meal	-0.02629183210384548
mealprep	-0.048226201844667776
meat	0.023598436306539242
meatsauce	-0.11320545440652405
mexican	0.11437730713382392
mexicancuisine	0.02659895610148303
mexicanfood	-0.12888135868623837
middleeastern	-0.0667118769861162
miso	-0.0002708526225462115
muffins	-0.048226201844667776
mushroom	-0.07851606715977108
mushrooms	-0.0002708526225462115
nachos	0.08154779336531204
noodles	0.08403296736648645
noodlesoup	-0.0002708526225462115
nori	0.06843160554929484
numbing	-0.0025393812771334345
nutmeg	0.037886567536743326
oat	-0.0017155612607460194
oats	0.07385565039537877
onion	-0.0584989045935447
onions	-0.018132098941382027
onthego	0.06843160554929484
oven	-0.01419172790231925
oysters	0.033408338040084265
pacificislands	-0.051711518317955986
pancakes	0.10729861048991321
parmesan	0.13768859510235068
partyfood	-0.009044497393711562
pasta	0.0776603244258401
pastasauce	-0.11320545440652405
pastry	0.01592759460062329
pastrycrust	0.0016272245240381404
peach	0.1542612349043495
peanutbutter	0.11105906168013911
peanutdressing	-0.11074508251613739
peanuts	0.04700786112409395
peppers	0.015090697135782498
pickledvegetables	-0.04659956398262779
pie	-0.11400071997604608
piecrust	0.10258365170371028
pork	0.04700786112409395
porkbelly	-0.0002708526225462115
potatoes	-0.04129788495307135
protein	-0.048226201844667776
puffpastry	-0.01419172790231925
quiche	0.0004288924553060569
quick	-0.12877965891576257
ramen	-0.0002708526225462115
refreshing	-0.020475908244297524
relish	-0.04168464198032753
rhubarb	-0.020475908244297524
rice	0.06843160554929484
ricevinegar	-0.06232021056651934
rich	0.06581230786740273
ricotta	-0.040676088419430476
salad	-0.18702495878470266
salsa	0.02211010534924521
salty	-0.06582278002773924
sandwich	0.01869698905443158
sauce	0.061648691353005845
savory	0.003822973064656454
scallions	0.12323256911639016
scallops	-0.050408980953335125
seafood	0.06785618384989003
sesame	0.0483308548113243
sesameoil	-0.06232021056651934
sesameseeds	-0.06232021056651934
shrimp	0.041682907990646
sichuancuisine	0.044468479846960514
sichuanpeppercorns	0.12323256911639016
sidedish	0.07658639422544762
sidedishes	0.03839435630231871
skewers	0.041682907990646
smoky	-0.11766838018986359
snack	-0.08062900972902175
snacks	0.029360848792253695
sobanoodles	0.023153038188057293
soft	-0.005657394141037338
souffle	0.1355916505753822
soup	0.0318681702035631
sourcream	-0.041843363720657764
southern	0.0018126619022683845
southerncuisine	0.033408338040084265
soysauce	-0.031144959725295157
spam	0.016720087231338852
spices	0.03817710138770178
spicy	-0.156648700390276
spicyfood	-0.03170474013307722
spinach	-0.09426034365218984
spring	-0.01635762340808303
steamed	-0.012139856593381048
stirfry	-0.07876408926942964
strawberry	-0.020475908244297524
streetfood	-0.03404677208335325
stuffedpeppers	-0.03170474013307722
summer	-0.09597473188054886
sushi	0.06843160554929484
sweet	0.0503697625940093
sweetandsalty	-0.0037559234874568973
sweetandsavory	0.07165689762143658
sweettreat	0.01800488438469472
taco	-0.023063579937962132
tacos	0.032665104902762955
tangy	-0.0005118588716192078
tart	0.061648691353005845
tea	0.03219661228701397
tempura	0.10621215727404285
tender	-0.03194922624488282
texmex	0.015090697135782498
thanksgiving	0.019964049372678316
toast	0.01869698905443158
tomato	0.10543636178066906
tomatoes	-0.1476335943451496
tomatosauce	-0.008280930892009458
tortilla	-0.033222796077164524
tortillabowl	-0.023063579937962132
tortillachips	-0.05321629633060313
tortillas	-0.026207187817288854
traditional	-0.012139856593381048
twisted	-0.012195015361200046
udonnoodles	0.10621215727404285
vanilla	-0.10263414071403737
vanillaicecream	0.07385565039537877
vegan	-0.021439992524545065
vegetables	-0.0649701702882079
vegetarian	-0.060675675813697594
warm	-0.01419172790231925
whippedcream	0.07385565039537877
winter	-0.056598464401671725
yeastdough	-0.012195015361200046
